page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/sapper-consulting,6.4,Advertising & Marketing,2014,90
https://www.inc.com/profile/privy,3,Advertising & Marketing,2012,30
https://www.inc.com/profile/scooch,5.7,Consumer Products & Services,2015,8
https://www.inc.com/profile/monkedia,17.4,Advertising & Marketing,2014,NA
https://www.inc.com/profile/upshow,2.6,Business Products & Services,2015,30
https://www.inc.com/profile/campuslogic,14.2,Software,2011,105
https://www.inc.com/profile/pcc-cleaning-and-maintenance,12,Environmental Services,2015,80
https://www.inc.com/profile/quirk-creative,3.3,Advertising & Marketing,2015,9
https://www.inc.com/profile/tricopian,7,Consumer Products & Services,2011,18
https://www.inc.com/profile/efficient-home-services-of-florida,9.9,Energy,2011,50
https://www.inc.com/profile/fitness-cubed,10.3,Manufacturing,2014,13
https://www.inc.com/profile/velox-media,3.1,Advertising & Marketing,2007,NA
https://www.inc.com/profile/1link-technology,4.6,IT Management,2014,55
https://www.inc.com/profile/quadrant-resource,12.8,Software,2004,100
https://www.inc.com/profile/myhealth,2.7,Health,2015,64
https://www.inc.com/profile/velocity-global,85.8,Business Products & Services,2014,NA
https://www.inc.com/profile/oseth-group,5.4,Construction,2015,23
https://www.inc.com/profile/koia,8.2,Food & Beverage,2013,15
https://www.inc.com/profile/sifted,6.9,Food & Beverage,2015,142
https://www.inc.com/profile/prx-performance,7.2,Retail,2013,NA
https://www.inc.com/profile/universal-yums,12.7,Food & Beverage,2014,28
https://www.inc.com/profile/bridge-brothers,4.1,Manufacturing,2015,14
https://www.inc.com/profile/dynamic-systems-technology,24.7,Government Services,1995,350
https://www.inc.com/profile/supinf-technologies,4.5,Government Services,2009,10
https://www.inc.com/profile/davis-cargo,32.9,Logistics & Transportation,2014,45
https://www.inc.com/profile/polaris-energy-services,2.2,Energy,2014,10
https://www.inc.com/profile/setschedule,3.6,Real Estate,2014,NA
https://www.inc.com/profile/l2-defense,20.8,Government Services,2012,60
https://www.inc.com/profile/motivosity,3.6,Software,2013,18
https://www.inc.com/profile/advoc8,14.3,Advertising & Marketing,2015,30
https://www.inc.com/profile/real-plans,4,Software,2014,23
https://www.inc.com/profile/axiom-strategies,138.4,Advertising & Marketing,2005,102
https://www.inc.com/profile/midway-staffing,40.5,Business Products & Services,2015,"2,330"
https://www.inc.com/profile/perfect-part,2.3,Telecommunications,2013,5
https://www.inc.com/profile/silverline-home-remodeling,2.2,Construction,2014,5
https://www.inc.com/profile/maxim-zenwise-opco,37.5,Consumer Products & Services,2014,25
https://www.inc.com/profile/world-housing-solution,5.1,Manufacturing,2011,29
https://www.inc.com/profile/city-ventures,113.5,Real Estate,2013,250
https://www.inc.com/profile/web-presence,3.9,Advertising & Marketing,2014,NA
https://www.inc.com/profile/energy-earth,22.3,Advertising & Marketing,2011,42
https://www.inc.com/profile/empowered-electric,3.6,Construction,2015,28
https://www.inc.com/profile/bookkeeper-business-launch,4.4,Education,2015,8
https://www.inc.com/profile/noom,61.1,Health,2008,"1,246"
https://www.inc.com/profile/zenith-engineers,2.7,Engineering,2009,30
https://www.inc.com/profile/lets-make-a-lead,4.1,Business Products & Services,2014,NA
https://www.inc.com/profile/momentum-solar,161.8,Energy,2009,"1,160"
https://www.inc.com/profile/radius-networks,31.5,Software,2011,54
https://www.inc.com/profile/fattmerchant,4.5,Financial Services,2014,75
https://www.inc.com/profile/infinium-group,3.5,Human Resources,2014,8
https://www.inc.com/profile/global-memory-procurement-corporation-dba-memorynet,18.7,Computer Hardware,2000,11
https://www.inc.com/profile/factorypure,6.1,Retail,2013,5
https://www.inc.com/profile/untappd,10,Software,2010,90
https://www.inc.com/profile/mikmak,2.7,Advertising & Marketing,2015,11
https://www.inc.com/profile/fusion-recruiting-labs,7.7,Software,2015,45
https://www.inc.com/profile/office-libations,4.5,Food & Beverage,2014,15
https://www.inc.com/profile/broker-online-exchange,8.2,Energy,2013,25
https://www.inc.com/profile/odl-services,6.6,Government Services,2012,15
https://www.inc.com/profile/platinum-health,10.7,Health,2014,4
https://www.inc.com/profile/avelead,7.2,IT System Development,2014,40
https://www.inc.com/profile/CMG-Midwest,2.6,Construction,2012,5
https://www.inc.com/profile/quince-orchard-psychotherapy,2.9,Health,2015,33
https://www.inc.com/profile/redshelf,46.2,Education,2012,79
https://www.inc.com/profile/transamerica-express-logistics,120.5,Logistics & Transportation,2015,22
https://www.inc.com/profile/flipcause,4.7,Software,2012,30
https://www.inc.com/profile/simply-nuc,12,Computer Hardware,2015,44
https://www.inc.com/profile/virtual-machine-solutions,2.3,IT Management,2014,3
https://www.inc.com/profile/gateway-genomics,4.3,Health,2014,19
https://www.inc.com/profile/strativia,11.1,Government Services,2007,NA
https://www.inc.com/profile/clockshark,3.6,Software,2014,25
https://www.inc.com/profile/trifold,7.3,Manufacturing,2013,6
https://www.inc.com/profile/energy-ogre,6.3,Consumer Products & Services,2013,60
https://www.inc.com/profile/d-ott-construction,3.3,Construction,2015,5
https://www.inc.com/profile/medisuite,2.1,Health,2013,12
https://www.inc.com/profile/myta-technologies,5.3,Human Resources,2014,40
https://www.inc.com/profile/deal-partners,26.3,Consumer Products & Services,2012,21
https://www.inc.com/profile/tier4-group,4.6,Business Products & Services,2010,NA
https://www.inc.com/profile/ies,13.4,Manufacturing,2014,25
https://www.inc.com/profile/resicap,467.4,Real Estate,2010,900
https://www.inc.com/profile/transcend-security-solutions,8.3,Security,2014,NA
https://www.inc.com/profile/globaltexusa,2.3,Business Products & Services,2015,10
https://www.inc.com/profile/vespa-group,4.4,IT System Development,2014,59
https://www.inc.com/profile/bridgewater-homes,46.2,Construction,2015,18
https://www.inc.com/profile/park-financial-group,7.4,Financial Services,2015,35
https://www.inc.com/profile/chronovo,3.7,Insurance,2014,25
https://www.inc.com/profile/maverick-media-ventures,3.1,Consumer Products & Services,2014,9
https://www.inc.com/profile/kortx,10.5,Advertising & Marketing,2014,20
https://www.inc.com/profile/bawla-consulting,10.1,Human Resources,2014,2
https://www.inc.com/profile/pawstruck,8.8,Retail,2014,15
https://www.inc.com/profile/blue-raven-solar,58.8,Energy,2014,250
https://www.inc.com/profile/woom-bikes-usa,7.2,Consumer Products & Services,2014,25
https://www.inc.com/profile/mixt-solutions,3.7,Consumer Products & Services,2014,5
https://www.inc.com/profile/thrivepass,4.2,Health,2015,31
https://www.inc.com/profile/premier-health-solutions,8.5,Insurance,2012,29
https://www.inc.com/profile/impact-analytics,4.7,Business Products & Services,2014,175
https://www.inc.com/profile/hemper,4.5,Consumer Products & Services,2015,18
https://www.inc.com/profile/intermex,2.6,Travel & Hospitality,2015,18
https://www.inc.com/profile/patientbond,2.2,IT System Development,2011,16
https://www.inc.com/profile/ginn-group,71.6,Real Estate,2009,49
https://www.inc.com/profile/pantherx-rare,726.1,Health,2011,164
https://www.inc.com/profile/factorial-digital,2.7,Advertising & Marketing,2015,6
https://www.inc.com/profile/t-rex-solutions,259.4,Government Services,1999,231
https://www.inc.com/profile/infusemedia,8.6,Advertising & Marketing,2012,375
https://www.inc.com/profile/teachable,14,Software,2014,81
https://www.inc.com/profile/squadhelpcom,3,Business Products & Services,2011,NA
https://www.inc.com/profile/take2-consulting,18.4,IT Management,2014,NA
https://www.inc.com/profile/epion-health,4.1,Software,2011,20
https://www.inc.com/profile/gotcha-media-holdings,8.4,Logistics & Transportation,2009,81
https://www.inc.com/profile/kyzen-consulting-services,5.5,Government Services,1999,22
https://www.inc.com/profile/checkedup,5.2,Health,2012,45
https://www.inc.com/profile/cultivate-advisors,3.4,Business Products & Services,2013,32
https://www.inc.com/profile/advisors-education,2.3,Education,2011,9
https://www.inc.com/profile/recleim,40.9,Environmental Services,2012,323
https://www.inc.com/profile/maddox-industrial-transformer,13.7,Manufacturing,2015,23
https://www.inc.com/profile/mako-medical-laboratories,93.9,Health,2014,502
https://www.inc.com/profile/alert-media,4.9,Software,2013,73
https://www.inc.com/profile/southern-veterinary-partners,113.5,Health,2014,"1,500"
https://www.inc.com/profile/flexicrew-technical-services,2.7,Human Resources,2015,11
https://www.inc.com/profile/texas-beauty-labs,9.1,Manufacturing,2007,88
