page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/loadup-technologies,3.7,Logistics & Transportation,2014,15,goloadup.com,3.7 M,2939%,NA,74.41%,Secure,119
https://www.inc.com/profile/skillset-group,23.6,Human Resources,2013,740,skillsetgroup.com,23.6 M,2911%,50000,46.08%,Secure,120
https://www.inc.com/profile/ally-logistics,25.8,Logistics & Transportation,2012,37,allylogistics.com,25.8 M,2872%,50000,100.00%,Secure,121
https://www.inc.com/profile/bamfi,12.3,Financial Services,2012,66,bamfi.com,12.3 M,2861%,50000,5.41%,Secure,122
https://www.inc.com/profile/potoo,6.6,Business Products & Services,2014,60,potoosolutions.com,6.6 M,2813%,50000,48.55%,Secure,123
https://www.inc.com/profile/parsons-xtreme-golf,79,Consumer Products & Services,2014,196,pxg.com,79 M,2805%,NA,52.50%,Secure,124
https://www.inc.com/profile/onfleet,3.5,Logistics & Transportation,2012,19,onfleet.com,3.5 M,2795%,NA,16.08%,Secure,125
https://www.inc.com/profile/patientpop,38.8,Health,2014,375,patientpop.com,38.8 M,2782%,NA,25.34%,Secure,126
https://www.inc.com/profile/gravity-resources,4.7,Business Products & Services,2015,25,gravityitresources.com,4.7 M,2774%,50000,NA,Not Secure,127
https://www.inc.com/profile/medlab-international,3.2,Health,2015,8,medlabgear.com,3.2 M,2743%,50000,21.62%,Secure,128
https://www.inc.com/profile/equity-help,3.2,Business Products & Services,2014,20,equityandhelp.com,3.2 M,2729%,NA,21.62%,Not Secure,129
https://www.inc.com/profile/ridgeline-international,30,Telecommunications,2015,125,ridgelineintl.com,30 M,2729%,50000,99.04%,Secure,130
https://www.inc.com/profile/china-metal-solutions,3.1,Manufacturing,2015,NA,chinametalsolutions.com,3.1 M,2705%,50000,100.00%,Secure,131
https://www.inc.com/profile/bluesky-resource-solutions,6.7,Business Products & Services,2013,98,blueskyrs.com,6.7 M,2697%,50000,50.86%,Secure,132
https://www.inc.com/profile/centauri-health-solutions,84.8,Health,2014,941,centaurihs.com,84.8 M,2694%,50000,93.70%,Secure,133
https://www.inc.com/profile/celltrade-ny,12.4,Consumer Products & Services,2015,11,celltradeny.com,12.4 M,2690%,50000,19.39%,Secure,134
https://www.inc.com/profile/exabeam,38.8,Security,2013,274,exabeam.com,38.8 M,2679%,NA,60.71%,Secure,135
